vertex_index,parcel_id,parcel_label,yeo_network_id,yeo_network_name,hemisphere
0,57,7Networks_LH_SomMot_26,2,SomMot,lh
1,81,7Networks_LH_DorsAttn_Post_13,3,DorsAttn,lh
2,49,7Networks_LH_SomMot_18,2,SomMot,lh
3,106,7Networks_LH_SalVentAttn_PFCl_1,4,SalVentAttn,lh
4,40,7Networks_LH_SomMot_9,2,SomMot,lh
5,129,7Networks_LH_Cont_Par_3,6,Cont,lh
6,14,7Networks_LH_Vis_14,1,Vis,lh
7,22,7Networks_LH_Vis_22,1,Vis,lh
8,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
9,143,7Networks_LH_Cont_PFCv_1,6,Cont,lh
10,155,7Networks_LH_Default_Temp_7,7,Default,lh
11,2,7Networks_LH_Vis_2,1,Vis,lh
12,47,7Networks_LH_SomMot_16,2,SomMot,lh
13,140,7Networks_LH_Cont_PFCl_6,6,Cont,lh
14,186,7Networks_LH_Default_PFC_21,7,Default,lh
15,52,7Networks_LH_SomMot_21,2,SomMot,lh
16,94,7Networks_LH_SalVentAttn_ParOper_3,4,SalVentAttn,lh
17,67,7Networks_LH_SomMot_36,2,SomMot,lh
18,77,7Networks_LH_DorsAttn_Post_9,3,DorsAttn,lh
19,65,7Networks_LH_SomMot_34,2,SomMot,lh
20,111,7Networks_LH_SalVentAttn_Med_5,4,SalVentAttn,lh
21,148,7Networks_LH_Cont_PFCmp_1,6,Cont,lh
22,174,7Networks_LH_Default_PFC_9,7,Default,lh
23,146,7Networks_LH_Cont_Cing_1,6,Cont,lh
24,135,7Networks_LH_Cont_PFCl_1,6,Cont,lh
25,114,7Networks_LH_Limbic_OFC_1,5,Limbic,lh
26,101,7Networks_LH_SalVentAttn_FrOperIns_5,4,SalVentAttn,lh
27,36,7Networks_LH_SomMot_5,2,SomMot,lh
28,97,7Networks_LH_SalVentAttn_FrOperIns_1,4,SalVentAttn,lh
29,159,7Networks_LH_Default_Par_1,7,Default,lh
30,162,7Networks_LH_Default_Par_4,7,Default,lh
31,71,7Networks_LH_DorsAttn_Post_3,3,DorsAttn,lh
32,27,7Networks_LH_Vis_27,1,Vis,lh
33,194,7Networks_LH_Default_pCunPCC_5,7,Default,lh
34,18,7Networks_LH_Vis_18,1,Vis,lh
35,197,7Networks_LH_Default_pCunPCC_8,7,Default,lh
36,20,7Networks_LH_Vis_20,1,Vis,lh
37,120,7Networks_LH_Limbic_TempPole_2,5,Limbic,lh
38,2,7Networks_LH_Vis_2,1,Vis,lh
39,122,7Networks_LH_Limbic_TempPole_4,5,Limbic,lh
40,8,7Networks_LH_Vis_8,1,Vis,lh
41,4,7Networks_LH_Vis_4,1,Vis,lh
42,50,7Networks_LH_SomMot_19,2,SomMot,lh
43,185,7Networks_LH_Default_PFC_20,7,Default,lh
44,88,7Networks_LH_DorsAttn_FEF_3,3,DorsAttn,lh
45,53,7Networks_LH_SomMot_22,2,SomMot,lh
46,48,7Networks_LH_SomMot_17,2,SomMot,lh
47,62,7Networks_LH_SomMot_31,2,SomMot,lh
48,52,7Networks_LH_SomMot_21,2,SomMot,lh
49,61,7Networks_LH_SomMot_30,2,SomMot,lh
50,68,7Networks_LH_SomMot_37,2,SomMot,lh
51,87,7Networks_LH_DorsAttn_FEF_2,3,DorsAttn,lh
52,176,7Networks_LH_Default_PFC_11,7,Default,lh
53,178,7Networks_LH_Default_PFC_13,7,Default,lh
54,179,7Networks_LH_Default_PFC_14,7,Default,lh
55,138,7Networks_LH_Cont_PFCl_4,6,Cont,lh
56,118,7Networks_LH_Limbic_OFC_5,5,Limbic,lh
57,139,7Networks_LH_Cont_PFCl_5,6,Cont,lh
58,139,7Networks_LH_Cont_PFCl_5,6,Cont,lh
59,39,7Networks_LH_SomMot_8,2,SomMot,lh
60,35,7Networks_LH_SomMot_4,2,SomMot,lh
61,104,7Networks_LH_SalVentAttn_FrOperIns_8,4,SalVentAttn,lh
62,42,7Networks_LH_SomMot_11,2,SomMot,lh
63,41,7Networks_LH_SomMot_10,2,SomMot,lh
64,165,7Networks_LH_Default_Par_7,7,Default,lh
65,160,7Networks_LH_Default_Par_2,7,Default,lh
66,163,7Networks_LH_Default_Par_5,7,Default,lh
67,77,7Networks_LH_DorsAttn_Post_9,3,DorsAttn,lh
68,164,7Networks_LH_Default_Par_6,7,Default,lh
69,144,7Networks_LH_Cont_pCun_1,6,Cont,lh
70,29,7Networks_LH_Vis_29,1,Vis,lh
71,75,7Networks_LH_DorsAttn_Post_7,3,DorsAttn,lh
72,83,7Networks_LH_DorsAttn_Post_15,3,DorsAttn,lh
73,200,7Networks_LH_Default_pCunPCC_11,7,Default,lh
74,108,7Networks_LH_SalVentAttn_Med_2,4,SalVentAttn,lh
75,147,7Networks_LH_Cont_Cing_2,6,Cont,lh
76,109,7Networks_LH_SalVentAttn_Med_3,4,SalVentAttn,lh
77,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
78,126,7Networks_LH_Limbic_TempPole_8,5,Limbic,lh
79,126,7Networks_LH_Limbic_TempPole_8,5,Limbic,lh
80,98,7Networks_LH_SalVentAttn_FrOperIns_2,4,SalVentAttn,lh
81,125,7Networks_LH_Limbic_TempPole_7,5,Limbic,lh
82,125,7Networks_LH_Limbic_TempPole_7,5,Limbic,lh
83,154,7Networks_LH_Default_Temp_6,7,Default,lh
84,151,7Networks_LH_Default_Temp_3,7,Default,lh
85,152,7Networks_LH_Default_Temp_4,7,Default,lh
86,12,7Networks_LH_Vis_12,1,Vis,lh
87,9,7Networks_LH_Vis_9,1,Vis,lh
88,6,7Networks_LH_Vis_6,1,Vis,lh
89,20,7Networks_LH_Vis_20,1,Vis,lh
90,13,7Networks_LH_Vis_13,1,Vis,lh
91,16,7Networks_LH_Vis_16,1,Vis,lh
92,43,7Networks_LH_SomMot_12,2,SomMot,lh
93,105,7Networks_LH_SalVentAttn_FrOperIns_9,4,SalVentAttn,lh
94,141,7Networks_LH_Cont_PFCl_7,6,Cont,lh
95,182,7Networks_LH_Default_PFC_17,7,Default,lh
96,181,7Networks_LH_Default_PFC_16,7,Default,lh
97,79,7Networks_LH_DorsAttn_Post_11,3,DorsAttn,lh
98,74,7Networks_LH_DorsAttn_Post_6,3,DorsAttn,lh
99,46,7Networks_LH_SomMot_15,2,SomMot,lh
100,45,7Networks_LH_SomMot_14,2,SomMot,lh
101,84,7Networks_LH_DorsAttn_Post_16,3,DorsAttn,lh
102,78,7Networks_LH_DorsAttn_Post_10,3,DorsAttn,lh
103,58,7Networks_LH_SomMot_27,2,SomMot,lh
104,79,7Networks_LH_DorsAttn_Post_11,3,DorsAttn,lh
105,56,7Networks_LH_SomMot_25,2,SomMot,lh
106,109,7Networks_LH_SalVentAttn_Med_3,4,SalVentAttn,lh
107,64,7Networks_LH_SomMot_33,2,SomMot,lh
108,63,7Networks_LH_SomMot_32,2,SomMot,lh
109,181,7Networks_LH_Default_PFC_16,7,Default,lh
110,189,7Networks_LH_Default_PFC_24,7,Default,lh
111,110,7Networks_LH_SalVentAttn_Med_4,4,SalVentAttn,lh
112,169,7Networks_LH_Default_PFC_4,7,Default,lh
113,177,7Networks_LH_Default_PFC_12,7,Default,lh
114,174,7Networks_LH_Default_PFC_9,7,Default,lh
115,107,7Networks_LH_SalVentAttn_Med_1,4,SalVentAttn,lh
116,170,7Networks_LH_Default_PFC_5,7,Default,lh
117,115,7Networks_LH_Limbic_OFC_2,5,Limbic,lh
118,134,7Networks_LH_Cont_OFC_1,6,Cont,lh
119,116,7Networks_LH_Limbic_OFC_3,5,Limbic,lh
120,175,7Networks_LH_Default_PFC_10,7,Default,lh
121,172,7Networks_LH_Default_PFC_7,7,Default,lh
122,101,7Networks_LH_SalVentAttn_FrOperIns_5,4,SalVentAttn,lh
123,33,7Networks_LH_SomMot_2,2,SomMot,lh
124,156,7Networks_LH_Default_Temp_8,7,Default,lh
125,32,7Networks_LH_SomMot_1,2,SomMot,lh
126,35,7Networks_LH_SomMot_4,2,SomMot,lh
127,93,7Networks_LH_SalVentAttn_ParOper_2,4,SalVentAttn,lh
128,37,7Networks_LH_SomMot_6,2,SomMot,lh
129,157,7Networks_LH_Default_Temp_9,7,Default,lh
130,23,7Networks_LH_Vis_23,1,Vis,lh
131,8,7Networks_LH_Vis_8,1,Vis,lh
132,72,7Networks_LH_DorsAttn_Post_4,3,DorsAttn,lh
133,158,7Networks_LH_Default_Temp_10,7,Default,lh
134,75,7Networks_LH_DorsAttn_Post_7,3,DorsAttn,lh
135,28,7Networks_LH_Vis_28,1,Vis,lh
136,19,7Networks_LH_Vis_19,1,Vis,lh
137,191,7Networks_LH_Default_pCunPCC_2,7,Default,lh
138,21,7Networks_LH_Vis_21,1,Vis,lh
139,25,7Networks_LH_Vis_25,1,Vis,lh
140,24,7Networks_LH_Vis_24,1,Vis,lh
141,111,7Networks_LH_SalVentAttn_Med_5,4,SalVentAttn,lh
142,195,7Networks_LH_Default_pCunPCC_6,7,Default,lh
143,192,7Networks_LH_Default_pCunPCC_3,7,Default,lh
144,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
145,147,7Networks_LH_Cont_Cing_2,6,Cont,lh
146,193,7Networks_LH_Default_pCunPCC_4,7,Default,lh
147,125,7Networks_LH_Limbic_TempPole_7,5,Limbic,lh
148,121,7Networks_LH_Limbic_TempPole_3,5,Limbic,lh
149,121,7Networks_LH_Limbic_TempPole_3,5,Limbic,lh
150,126,7Networks_LH_Limbic_TempPole_8,5,Limbic,lh
151,149,7Networks_LH_Default_Temp_1,7,Default,lh
152,119,7Networks_LH_Limbic_TempPole_1,5,Limbic,lh
153,123,7Networks_LH_Limbic_TempPole_5,5,Limbic,lh
154,70,7Networks_LH_DorsAttn_Post_2,3,DorsAttn,lh
155,69,7Networks_LH_DorsAttn_Post_1,3,DorsAttn,lh
156,1,7Networks_LH_Vis_1,1,Vis,lh
157,11,7Networks_LH_Vis_11,1,Vis,lh
158,5,7Networks_LH_Vis_5,1,Vis,lh
159,2,7Networks_LH_Vis_2,1,Vis,lh
160,7,7Networks_LH_Vis_7,1,Vis,lh
161,7,7Networks_LH_Vis_7,1,Vis,lh
162,57,7Networks_LH_SomMot_26,2,SomMot,lh
163,86,7Networks_LH_DorsAttn_FEF_1,3,DorsAttn,lh
164,88,7Networks_LH_DorsAttn_FEF_3,3,DorsAttn,lh
165,53,7Networks_LH_SomMot_22,2,SomMot,lh
166,50,7Networks_LH_SomMot_19,2,SomMot,lh
167,57,7Networks_LH_SomMot_26,2,SomMot,lh
168,59,7Networks_LH_SomMot_28,2,SomMot,lh
169,57,7Networks_LH_SomMot_26,2,SomMot,lh
170,57,7Networks_LH_SomMot_26,2,SomMot,lh
171,88,7Networks_LH_DorsAttn_FEF_3,3,DorsAttn,lh
172,180,7Networks_LH_Default_PFC_15,7,Default,lh
173,179,7Networks_LH_Default_PFC_14,7,Default,lh
174,180,7Networks_LH_Default_PFC_15,7,Default,lh
175,106,7Networks_LH_SalVentAttn_PFCl_1,4,SalVentAttn,lh
176,138,7Networks_LH_Cont_PFCl_4,6,Cont,lh
177,106,7Networks_LH_SalVentAttn_PFCl_1,4,SalVentAttn,lh
178,137,7Networks_LH_Cont_PFCl_3,6,Cont,lh
179,32,7Networks_LH_SomMot_1,2,SomMot,lh
180,104,7Networks_LH_SalVentAttn_FrOperIns_8,4,SalVentAttn,lh
181,104,7Networks_LH_SalVentAttn_FrOperIns_8,4,SalVentAttn,lh
182,40,7Networks_LH_SomMot_9,2,SomMot,lh
183,39,7Networks_LH_SomMot_8,2,SomMot,lh
184,129,7Networks_LH_Cont_Par_3,6,Cont,lh
185,163,7Networks_LH_Default_Par_5,7,Default,lh
186,129,7Networks_LH_Cont_Par_3,6,Cont,lh
187,131,7Networks_LH_Cont_Par_5,6,Cont,lh
188,165,7Networks_LH_Default_Par_7,7,Default,lh
189,81,7Networks_LH_DorsAttn_Post_13,3,DorsAttn,lh
190,31,7Networks_LH_Vis_31,1,Vis,lh
191,75,7Networks_LH_DorsAttn_Post_7,3,DorsAttn,lh
192,83,7Networks_LH_DorsAttn_Post_15,3,DorsAttn,lh
193,83,7Networks_LH_DorsAttn_Post_15,3,DorsAttn,lh
194,108,7Networks_LH_SalVentAttn_Med_2,4,SalVentAttn,lh
195,108,7Networks_LH_SalVentAttn_Med_2,4,SalVentAttn,lh
196,49,7Networks_LH_SomMot_18,2,SomMot,lh
197,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
198,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
199,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
200,98,7Networks_LH_SalVentAttn_FrOperIns_2,4,SalVentAttn,lh
201,98,7Networks_LH_SalVentAttn_FrOperIns_2,4,SalVentAttn,lh
202,143,7Networks_LH_Cont_PFCv_1,6,Cont,lh
203,155,7Networks_LH_Default_Temp_7,7,Default,lh
204,154,7Networks_LH_Default_Temp_6,7,Default,lh
205,155,7Networks_LH_Default_Temp_7,7,Default,lh
206,12,7Networks_LH_Vis_12,1,Vis,lh
207,12,7Networks_LH_Vis_12,1,Vis,lh
208,14,7Networks_LH_Vis_14,1,Vis,lh
209,190,7Networks_LH_Default_pCunPCC_1,7,Default,lh
210,16,7Networks_LH_Vis_16,1,Vis,lh
211,22,7Networks_LH_Vis_22,1,Vis,lh
212,43,7Networks_LH_SomMot_12,2,SomMot,lh
213,90,7Networks_LH_DorsAttn_PrCv_1,3,DorsAttn,lh
214,91,7Networks_LH_DorsAttn_PrCv_2,3,DorsAttn,lh
215,185,7Networks_LH_Default_PFC_20,7,Default,lh
216,182,7Networks_LH_Default_PFC_17,7,Default,lh
217,182,7Networks_LH_Default_PFC_17,7,Default,lh
218,142,7Networks_LH_Cont_PFCl_8,6,Cont,lh
219,181,7Networks_LH_Default_PFC_16,7,Default,lh
220,76,7Networks_LH_DorsAttn_Post_8,3,DorsAttn,lh
221,76,7Networks_LH_DorsAttn_Post_8,3,DorsAttn,lh
222,76,7Networks_LH_DorsAttn_Post_8,3,DorsAttn,lh
223,48,7Networks_LH_SomMot_17,2,SomMot,lh
224,48,7Networks_LH_SomMot_17,2,SomMot,lh
225,45,7Networks_LH_SomMot_14,2,SomMot,lh
226,45,7Networks_LH_SomMot_14,2,SomMot,lh
227,58,7Networks_LH_SomMot_27,2,SomMot,lh
228,58,7Networks_LH_SomMot_27,2,SomMot,lh
229,58,7Networks_LH_SomMot_27,2,SomMot,lh
230,52,7Networks_LH_SomMot_21,2,SomMot,lh
231,79,7Networks_LH_DorsAttn_Post_11,3,DorsAttn,lh
232,79,7Networks_LH_DorsAttn_Post_11,3,DorsAttn,lh
233,79,7Networks_LH_DorsAttn_Post_11,3,DorsAttn,lh
234,56,7Networks_LH_SomMot_25,2,SomMot,lh
235,55,7Networks_LH_SomMot_24,2,SomMot,lh
236,64,7Networks_LH_SomMot_33,2,SomMot,lh
237,66,7Networks_LH_SomMot_35,2,SomMot,lh
238,64,7Networks_LH_SomMot_33,2,SomMot,lh
239,67,7Networks_LH_SomMot_36,2,SomMot,lh
240,85,7Networks_LH_DorsAttn_Post_17,3,DorsAttn,lh
241,181,7Networks_LH_Default_PFC_16,7,Default,lh
242,187,7Networks_LH_Default_PFC_22,7,Default,lh
243,89,7Networks_LH_DorsAttn_FEF_4,3,DorsAttn,lh
244,89,7Networks_LH_DorsAttn_FEF_4,3,DorsAttn,lh
245,113,7Networks_LH_SalVentAttn_Med_7,4,SalVentAttn,lh
246,113,7Networks_LH_SalVentAttn_Med_7,4,SalVentAttn,lh
247,169,7Networks_LH_Default_PFC_4,7,Default,lh
248,174,7Networks_LH_Default_PFC_9,7,Default,lh
249,174,7Networks_LH_Default_PFC_9,7,Default,lh
250,178,7Networks_LH_Default_PFC_13,7,Default,lh
251,177,7Networks_LH_Default_PFC_12,7,Default,lh
252,148,7Networks_LH_Cont_PFCmp_1,6,Cont,lh
253,110,7Networks_LH_SalVentAttn_Med_4,4,SalVentAttn,lh
254,148,7Networks_LH_Cont_PFCmp_1,6,Cont,lh
255,135,7Networks_LH_Cont_PFCl_1,6,Cont,lh
256,167,7Networks_LH_Default_PFC_2,7,Default,lh
257,135,7Networks_LH_Cont_PFCl_1,6,Cont,lh
258,118,7Networks_LH_Limbic_OFC_5,5,Limbic,lh
259,168,7Networks_LH_Default_PFC_3,7,Default,lh
260,168,7Networks_LH_Default_PFC_3,7,Default,lh
261,169,7Networks_LH_Default_PFC_4,7,Default,lh
262,140,7Networks_LH_Cont_PFCl_6,6,Cont,lh
263,140,7Networks_LH_Cont_PFCl_6,6,Cont,lh
264,140,7Networks_LH_Cont_PFCl_6,6,Cont,lh
265,135,7Networks_LH_Cont_PFCl_1,6,Cont,lh
266,136,7Networks_LH_Cont_PFCl_2,6,Cont,lh
267,135,7Networks_LH_Cont_PFCl_1,6,Cont,lh
268,170,7Networks_LH_Default_PFC_5,7,Default,lh
269,38,7Networks_LH_SomMot_7,2,SomMot,lh
270,33,7Networks_LH_SomMot_2,2,SomMot,lh
271,34,7Networks_LH_SomMot_3,2,SomMot,lh
272,102,7Networks_LH_SalVentAttn_FrOperIns_6,4,SalVentAttn,lh
273,35,7Networks_LH_SomMot_4,2,SomMot,lh
274,102,7Networks_LH_SalVentAttn_FrOperIns_6,4,SalVentAttn,lh
275,101,7Networks_LH_SalVentAttn_FrOperIns_5,4,SalVentAttn,lh
276,101,7Networks_LH_SalVentAttn_FrOperIns_5,4,SalVentAttn,lh
277,94,7Networks_LH_SalVentAttn_ParOper_3,4,SalVentAttn,lh
278,95,7Networks_LH_SalVentAttn_ParOper_4,4,SalVentAttn,lh
279,95,7Networks_LH_SalVentAttn_ParOper_4,4,SalVentAttn,lh
280,36,7Networks_LH_SomMot_5,2,SomMot,lh
281,38,7Networks_LH_SomMot_7,2,SomMot,lh
282,38,7Networks_LH_SomMot_7,2,SomMot,lh
283,33,7Networks_LH_SomMot_2,2,SomMot,lh
284,161,7Networks_LH_Default_Par_3,7,Default,lh
285,17,7Networks_LH_Vis_17,1,Vis,lh
286,72,7Networks_LH_DorsAttn_Post_4,3,DorsAttn,lh
287,96,7Networks_LH_SalVentAttn_TempOcc_1,4,SalVentAttn,lh
288,96,7Networks_LH_SalVentAttn_TempOcc_1,4,SalVentAttn,lh
289,158,7Networks_LH_Default_Temp_10,7,Default,lh
290,158,7Networks_LH_Default_Temp_10,7,Default,lh
291,157,7Networks_LH_Default_Temp_9,7,Default,lh
292,78,7Networks_LH_DorsAttn_Post_10,3,DorsAttn,lh
293,78,7Networks_LH_DorsAttn_Post_10,3,DorsAttn,lh
294,130,7Networks_LH_Cont_Par_4,6,Cont,lh
295,164,7Networks_LH_Default_Par_6,7,Default,lh
296,164,7Networks_LH_Default_Par_6,7,Default,lh
297,161,7Networks_LH_Default_Par_3,7,Default,lh
298,23,7Networks_LH_Vis_23,1,Vis,lh
299,194,7Networks_LH_Default_pCunPCC_5,7,Default,lh
300,26,7Networks_LH_Vis_26,1,Vis,lh
301,26,7Networks_LH_Vis_26,1,Vis,lh
302,27,7Networks_LH_Vis_27,1,Vis,lh
303,29,7Networks_LH_Vis_29,1,Vis,lh
304,24,7Networks_LH_Vis_24,1,Vis,lh
305,19,7Networks_LH_Vis_19,1,Vis,lh
306,19,7Networks_LH_Vis_19,1,Vis,lh
307,54,7Networks_LH_SomMot_23,2,SomMot,lh
308,109,7Networks_LH_SalVentAttn_Med_3,4,SalVentAttn,lh
309,111,7Networks_LH_SalVentAttn_Med_5,4,SalVentAttn,lh
310,199,7Networks_LH_Default_pCunPCC_10,7,Default,lh
311,200,7Networks_LH_Default_pCunPCC_11,7,Default,lh
312,195,7Networks_LH_Default_pCunPCC_6,7,Default,lh
313,194,7Networks_LH_Default_pCunPCC_5,7,Default,lh
314,177,7Networks_LH_Default_PFC_12,7,Default,lh
315,146,7Networks_LH_Cont_Cing_1,6,Cont,lh
316,146,7Networks_LH_Cont_Cing_1,6,Cont,lh
317,147,7Networks_LH_Cont_Cing_2,6,Cont,lh
318,147,7Networks_LH_Cont_Cing_2,6,Cont,lh
319,193,7Networks_LH_Default_pCunPCC_4,7,Default,lh
320,193,7Networks_LH_Default_pCunPCC_4,7,Default,lh
321,196,7Networks_LH_Default_pCunPCC_7,7,Default,lh
322,115,7Networks_LH_Limbic_OFC_2,5,Limbic,lh
323,115,7Networks_LH_Limbic_OFC_2,5,Limbic,lh
324,115,7Networks_LH_Limbic_OFC_2,5,Limbic,lh
325,126,7Networks_LH_Limbic_TempPole_8,5,Limbic,lh
326,121,7Networks_LH_Limbic_TempPole_3,5,Limbic,lh
327,123,7Networks_LH_Limbic_TempPole_5,5,Limbic,lh
328,121,7Networks_LH_Limbic_TempPole_3,5,Limbic,lh
329,2,7Networks_LH_Vis_2,1,Vis,lh
330,32,7Networks_LH_SomMot_1,2,SomMot,lh
331,152,7Networks_LH_Default_Temp_4,7,Default,lh
332,153,7Networks_LH_Default_Temp_5,7,Default,lh
333,125,7Networks_LH_Limbic_TempPole_7,5,Limbic,lh
334,124,7Networks_LH_Limbic_TempPole_6,5,Limbic,lh
335,120,7Networks_LH_Limbic_TempPole_2,5,Limbic,lh
336,119,7Networks_LH_Limbic_TempPole_1,5,Limbic,lh
337,120,7Networks_LH_Limbic_TempPole_2,5,Limbic,lh
338,71,7Networks_LH_DorsAttn_Post_3,3,DorsAttn,lh
339,8,7Networks_LH_Vis_8,1,Vis,lh
340,71,7Networks_LH_DorsAttn_Post_3,3,DorsAttn,lh
341,151,7Networks_LH_Default_Temp_3,7,Default,lh
342,151,7Networks_LH_Default_Temp_3,7,Default,lh
343,122,7Networks_LH_Limbic_TempPole_4,5,Limbic,lh
344,122,7Networks_LH_Limbic_TempPole_4,5,Limbic,lh
345,122,7Networks_LH_Limbic_TempPole_4,5,Limbic,lh
346,18,7Networks_LH_Vis_18,1,Vis,lh
347,21,7Networks_LH_Vis_21,1,Vis,lh
348,18,7Networks_LH_Vis_18,1,Vis,lh
349,5,7Networks_LH_Vis_5,1,Vis,lh
350,5,7Networks_LH_Vis_5,1,Vis,lh
351,5,7Networks_LH_Vis_5,1,Vis,lh
352,3,7Networks_LH_Vis_3,1,Vis,lh
353,3,7Networks_LH_Vis_3,1,Vis,lh
354,20,7Networks_LH_Vis_20,1,Vis,lh
355,13,7Networks_LH_Vis_13,1,Vis,lh
356,13,7Networks_LH_Vis_13,1,Vis,lh
357,13,7Networks_LH_Vis_13,1,Vis,lh
358,7,7Networks_LH_Vis_7,1,Vis,lh
359,7,7Networks_LH_Vis_7,1,Vis,lh
360,2,7Networks_LH_Vis_2,1,Vis,lh
361,4,7Networks_LH_Vis_4,1,Vis,lh
362,47,7Networks_LH_SomMot_16,2,SomMot,lh
363,91,7Networks_LH_DorsAttn_PrCv_2,3,DorsAttn,lh
364,86,7Networks_LH_DorsAttn_FEF_1,3,DorsAttn,lh
365,86,7Networks_LH_DorsAttn_FEF_1,3,DorsAttn,lh
366,87,7Networks_LH_DorsAttn_FEF_2,3,DorsAttn,lh
367,51,7Networks_LH_SomMot_20,2,SomMot,lh
368,51,7Networks_LH_SomMot_20,2,SomMot,lh
369,51,7Networks_LH_SomMot_20,2,SomMot,lh
370,50,7Networks_LH_SomMot_19,2,SomMot,lh
371,66,7Networks_LH_SomMot_35,2,SomMot,lh
372,60,7Networks_LH_SomMot_29,2,SomMot,lh
373,59,7Networks_LH_SomMot_28,2,SomMot,lh
374,59,7Networks_LH_SomMot_28,2,SomMot,lh
375,61,7Networks_LH_SomMot_30,2,SomMot,lh
376,65,7Networks_LH_SomMot_34,2,SomMot,lh
377,62,7Networks_LH_SomMot_31,2,SomMot,lh
378,66,7Networks_LH_SomMot_35,2,SomMot,lh
379,87,7Networks_LH_DorsAttn_FEF_2,3,DorsAttn,lh
380,87,7Networks_LH_DorsAttn_FEF_2,3,DorsAttn,lh
381,61,7Networks_LH_SomMot_30,2,SomMot,lh
382,173,7Networks_LH_Default_PFC_8,7,Default,lh
383,173,7Networks_LH_Default_PFC_8,7,Default,lh
384,178,7Networks_LH_Default_PFC_13,7,Default,lh
385,178,7Networks_LH_Default_PFC_13,7,Default,lh
386,183,7Networks_LH_Default_PFC_18,7,Default,lh
387,137,7Networks_LH_Cont_PFCl_3,6,Cont,lh
388,171,7Networks_LH_Default_PFC_6,7,Default,lh
389,171,7Networks_LH_Default_PFC_6,7,Default,lh
390,176,7Networks_LH_Default_PFC_11,7,Default,lh
391,139,7Networks_LH_Cont_PFCl_5,6,Cont,lh
392,136,7Networks_LH_Cont_PFCl_2,6,Cont,lh
393,139,7Networks_LH_Cont_PFCl_5,6,Cont,lh
394,137,7Networks_LH_Cont_PFCl_3,6,Cont,lh
395,36,7Networks_LH_SomMot_5,2,SomMot,lh
396,36,7Networks_LH_SomMot_5,2,SomMot,lh
397,39,7Networks_LH_SomMot_8,2,SomMot,lh
398,35,7Networks_LH_SomMot_4,2,SomMot,lh
399,103,7Networks_LH_SalVentAttn_FrOperIns_7,4,SalVentAttn,lh
400,42,7Networks_LH_SomMot_11,2,SomMot,lh
401,92,7Networks_LH_SalVentAttn_ParOper_1,4,SalVentAttn,lh
402,41,7Networks_LH_SomMot_10,2,SomMot,lh
403,41,7Networks_LH_SomMot_10,2,SomMot,lh
404,162,7Networks_LH_Default_Par_4,7,Default,lh
405,162,7Networks_LH_Default_Par_4,7,Default,lh
406,162,7Networks_LH_Default_Par_4,7,Default,lh
407,163,7Networks_LH_Default_Par_5,7,Default,lh
408,159,7Networks_LH_Default_Par_1,7,Default,lh
409,77,7Networks_LH_DorsAttn_Post_9,3,DorsAttn,lh
410,130,7Networks_LH_Cont_Par_4,6,Cont,lh
411,165,7Networks_LH_Default_Par_7,7,Default,lh
412,164,7Networks_LH_Default_Par_6,7,Default,lh
413,144,7Networks_LH_Cont_pCun_1,6,Cont,lh
414,30,7Networks_LH_Vis_30,1,Vis,lh
415,144,7Networks_LH_Cont_pCun_1,6,Cont,lh
416,31,7Networks_LH_Vis_31,1,Vis,lh
417,73,7Networks_LH_DorsAttn_Post_5,3,DorsAttn,lh
418,112,7Networks_LH_SalVentAttn_Med_6,4,SalVentAttn,lh
419,112,7Networks_LH_SalVentAttn_Med_6,4,SalVentAttn,lh
420,145,7Networks_LH_Cont_pCun_2,6,Cont,lh
421,145,7Networks_LH_Cont_pCun_2,6,Cont,lh
422,107,7Networks_LH_SalVentAttn_Med_1,4,SalVentAttn,lh
423,146,7Networks_LH_Cont_Cing_1,6,Cont,lh
424,146,7Networks_LH_Cont_Cing_1,6,Cont,lh
425,198,7Networks_LH_Default_pCunPCC_9,7,Default,lh
426,197,7Networks_LH_Default_pCunPCC_8,7,Default,lh
427,114,7Networks_LH_Limbic_OFC_1,5,Limbic,lh
428,114,7Networks_LH_Limbic_OFC_1,5,Limbic,lh
429,117,7Networks_LH_Limbic_OFC_4,5,Limbic,lh
430,126,7Networks_LH_Limbic_TempPole_8,5,Limbic,lh
431,126,7Networks_LH_Limbic_TempPole_8,5,Limbic,lh
432,100,7Networks_LH_SalVentAttn_FrOperIns_4,4,SalVentAttn,lh
433,97,7Networks_LH_SalVentAttn_FrOperIns_1,4,SalVentAttn,lh
434,97,7Networks_LH_SalVentAttn_FrOperIns_1,4,SalVentAttn,lh
435,97,7Networks_LH_SalVentAttn_FrOperIns_1,4,SalVentAttn,lh
436,125,7Networks_LH_Limbic_TempPole_7,5,Limbic,lh
437,154,7Networks_LH_Default_Temp_6,7,Default,lh
438,133,7Networks_LH_Cont_Temp_1,6,Cont,lh
439,151,7Networks_LH_Default_Temp_3,7,Default,lh
440,150,7Networks_LH_Default_Temp_2,7,Default,lh
441,150,7Networks_LH_Default_Temp_2,7,Default,lh
442,15,7Networks_LH_Vis_15,1,Vis,lh
